Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Jehu Rudeforth,Smooth Silky Salty,USA,04-Jan-23,6907.5,768,Delivered
Gigi Bohling,Fruit & Nut Bars,New Zealand,04-Jan-23,5204.25,217,Delivered
Karlen McCaffrey,Mint Chip Choco,India,04-Jan-23,4351.5,311,Delivered
Roddy Speechley,85% Dark Bars,USA,04-Jan-23,3507.75,153,Delivered
Kaine Padly,Baker's Choco Chips,India,04-Jan-23,11583,682,Delivered
Gunar Cockshoot,Fruit & Nut Bars,UK,04-Jan-23,6003,241,Delivered
Karlen McCaffrey,Mint Chip Choco,UK,04-Jan-23,1075.5,83,Delivered
Gunar Cockshoot,Mint Chip Choco,India,04-Jan-23,2191.5,200,Delivered
Wilone O'Kielt,Baker's Choco Chips,UK,04-Jan-23,3114,208,Delivered
Madelene Upcott,99% Dark & Pure,Australia,04-Jan-23,10923.75,456,Delivered
Beverie Moffet,Baker's Choco Chips,UK,04-Jan-23,3696.75,185,Delivered
Curtice Advani,85% Dark Bars,UK,04-Jan-23,2193.75,105,Delivered
Dotty Strutley,99% Dark & Pure,USA,05-Jan-23,7647.75,319,Delivered
Madelene Upcott,Smooth Silky Salty,UK,05-Jan-23,2880,320,Delivered
Dennison Crosswaite,Mint Chip Choco,USA,05-Jan-23,5037.75,504,Delivered
Beverie Moffet,85% Dark Bars,Canada,05-Jan-23,9740.25,443,Delivered
Karlen McCaffrey,Organic Choco Syrup,USA,05-Jan-23,14148,708,Delivered
Marney O'Breen,99% Dark & Pure,Canada,05-Jan-23,2083.5,95,Delivered
Husein Augar,Peanut Butter Cubes,Australia,05-Jan-23,6120,323,Delivered
Roddy Speechley,70% Dark Bites,New Zealand,06-Jan-23,2412,161,Delivered
Andria Kimpton,Eclairs,UK,06-Jan-23,661.5,32,Delivered
Andria Kimpton,Mint Chip Choco,Canada,06-Jan-23,794.25,57,Delivered
Van Tuxwell,Choco Coated Almonds,New Zealand,06-Jan-23,9045,696,Delivered
Dennison Crosswaite,Orange Choco,USA,06-Jan-23,15489,1409,Delivered
Ches Bonnell,Organic Choco Syrup,India,06-Jan-23,348.75,17,Delivered
Wilone O'Kielt,Baker's Choco Chips,India,06-Jan-23,2403,142,Delivered
Barr Faughny,Drinking Coco,UK,06-Jan-23,5721.75,573,Delivered
Marney O'Breen,Mint Chip Choco,UK,06-Jan-23,785.25,79,Delivered
Gigi Bohling,Fruit & Nut Bars,India,06-Jan-23,7940.25,295,Delivered
Dotty Strutley,Organic Choco Syrup,USA,06-Jan-23,1629,75,Delivered
Madelene Upcott,85% Dark Bars,New Zealand,06-Jan-23,11414.25,519,Delivered
Gunar Cockshoot,Milk Bars,Australia,06-Jan-23,3982.5,235,Delivered
Dennison Crosswaite,Drinking Coco,India,06-Jan-23,6729.75,748,Delivered
Madelene Upcott,Peanut Butter Cubes,USA,06-Jan-23,5631.75,235,Delivered
Karlen McCaffrey,Organic Choco Syrup,Australia,09-Jan-23,351,19,Delivered
Jan Morforth,Eclairs,UK,09-Jan-23,2877.75,126,Delivered
Beverie Moffet,Organic Choco Syrup,USA,09-Jan-23,8694,483,Delivered
Brien Boise,Peanut Butter Cubes,India,09-Jan-23,4259.25,194,Delivered
Husein Augar,99% Dark & Pure,India,09-Jan-23,8185.5,431,Delivered
Beverie Moffet,Organic Choco Syrup,USA,09-Jan-23,12559.5,698,Delivered
Curtice Advani,Almond Choco,New Zealand,10-Jan-23,582.75,59,Delivered
Kelci Walkden,Manuka Honey Choco,USA,10-Jan-23,2.25,1,Delivered
Marney O'Breen,Baker's Choco Chips,UK,10-Jan-23,31.5,3,Delivered
Barr Faughny,Manuka Honey Choco,USA,10-Jan-23,2992.5,137,Delivered
Beverie Moffet,Baker's Choco Chips,USA,10-Jan-23,1939.5,103,Delivered
Barr Faughny,Manuka Honey Choco,Australia,10-Jan-23,1552.5,71,Delivered
Brien Boise,After Nines,USA,10-Jan-23,4837.5,373,Delivered
Jan Morforth,Peanut Butter Cubes,UK,11-Jan-23,5418,247,Delivered
Dotty Strutley,Baker's Choco Chips,India,11-Jan-23,1602,85,Delivered
Dotty Strutley,Manuka Honey Choco,USA,11-Jan-23,15781.5,752,Delivered
Brien Boise,Peanut Butter Cubes,USA,11-Jan-23,6822,360,Delivered
Rafaelita Blaksland,Eclairs,Canada,11-Jan-23,4992.75,250,Delivered
Roddy Speechley,Spicy Special Slims,New Zealand,11-Jan-23,8136,429,Delivered
Madelene Upcott,Choco Coated Almonds,India,12-Jan-23,5109.75,394,Delivered
Wilone O'Kielt,Baker's Choco Chips,USA,12-Jan-23,8876.25,494,Delivered
Husein Augar,Eclairs,India,12-Jan-23,9472.5,474,Delivered
Wilone O'Kielt,50% Dark Bites,Canada,12-Jan-23,6806.25,401,Delivered
Jan Morforth,Drinking Coco,Canada,12-Jan-23,6363,531,Delivered
Jan Morforth,Spicy Special Slims,UK,13-Jan-23,6657.75,351,Delivered
Curtice Advani,85% Dark Bars,USA,13-Jan-23,10748.25,489,Delivered
Dotty Strutley,70% Dark Bites,USA,13-Jan-23,8662.5,542,Delivered
Brien Boise,Caramel Stuffed Bars,USA,13-Jan-23,3692.25,206,Delivered
Wilone O'Kielt,99% Dark & Pure,USA,13-Jan-23,2322,111,Delivered
Jan Morforth,Smooth Silky Salty,UK,13-Jan-23,9981,1426,Delivered
Camilla Castle,Manuka Honey Choco,Australia,13-Jan-23,6203.25,345,Delivered
Brien Boise,Smooth Silky Salty,UK,13-Jan-23,11515.5,1646,Delivered
Barr Faughny,Spicy Special Slims,USA,13-Jan-23,3597.75,180,Delivered
Gigi Bohling,Almond Choco,Canada,16-Jan-23,1644.75,138,Delivered
Kelci Walkden,Baker's Choco Chips,UK,16-Jan-23,1152,68,Delivered
Curtice Advani,50% Dark Bites,New Zealand,16-Jan-23,2461.5,112,Delivered
Jan Morforth,Smooth Silky Salty,UK,16-Jan-23,7602.75,951,Delivered
Jehu Rudeforth,85% Dark Bars,India,17-Jan-23,5274,211,Delivered
Brien Boise,Peanut Butter Cubes,Canada,17-Jan-23,4353.75,182,Delivered
Dotty Strutley,Baker's Choco Chips,Canada,17-Jan-23,121.5,8,Delivered
Roddy Speechley,99% Dark & Pure,UK,17-Jan-23,1752.75,93,Delivered
Barr Faughny,Eclairs,India,17-Jan-23,288,14,Delivered
Karlen McCaffrey,50% Dark Bites,UK,17-Jan-23,7521.75,359,Delivered
Brien Boise,White Choc,USA,17-Jan-23,5494.5,275,Delivered
Jan Morforth,White Choc,UK,17-Jan-23,5618.25,268,Delivered
Oby Sorrel,Mint Chip Choco,India,17-Jan-23,2421,187,Delivered
Wilone O'Kielt,70% Dark Bites,USA,17-Jan-23,6086.25,339,Delivered
Camilla Castle,Eclairs,UK,17-Jan-23,2873.25,131,Delivered
Kelci Walkden,Eclairs,Canada,18-Jan-23,6646.5,350,Delivered
Gunar Cockshoot,Spicy Special Slims,India,18-Jan-23,1080,72,Delivered
Van Tuxwell,Spicy Special Slims,USA,19-Jan-23,3285,183,Delivered
Karlen McCaffrey,White Choc,UK,19-Jan-23,5856.75,267,Delivered
Roddy Speechley,Peanut Butter Cubes,USA,19-Jan-23,6705,280,Delivered
Husein Augar,Manuka Honey Choco,UK,19-Jan-23,6207.75,296,Delivered
Dotty Strutley,Spicy Special Slims,UK,19-Jan-23,1712.25,96,Delivered
Jan Morforth,White Choc,USA,19-Jan-23,4623.75,221,Delivered
Rafaelita Blaksland,Peanut Butter Cubes,USA,19-Jan-23,6054.75,289,Delivered
Gigi Bohling,Mint Chip Choco,UK,19-Jan-23,8275.5,690,Delivered
Ches Bonnell,Peanut Butter Cubes,New Zealand,19-Jan-23,6853.5,361,Delivered
Dotty Strutley,Baker's Choco Chips,UK,19-Jan-23,6468.75,432,Delivered
Brien Boise,Fruit & Nut Bars,UK,19-Jan-23,12199.5,452,Delivered
Roddy Speechley,Peanut Butter Cubes,India,19-Jan-23,6669,318,Delivered
Barr Faughny,Spicy Special Slims,USA,20-Jan-23,11538,679,Delivered
Jehu Rudeforth,Peanut Butter Cubes,UK,20-Jan-23,6756.75,308,Delivered
Jan Morforth,Orange Choco,USA,20-Jan-23,7634.25,695,Delivered
Beverie Moffet,Choco Coated Almonds,Australia,20-Jan-23,3120.75,241,Delivered
Barr Faughny,50% Dark Bites,USA,20-Jan-23,994.5,56,Delivered
Jan Morforth,Spicy Special Slims,Australia,20-Jan-23,789.75,50,Delivered
Beverie Moffet,70% Dark Bites,UK,20-Jan-23,6444,323,Delivered
Beverie Moffet,Almond Choco,Canada,20-Jan-23,14438.25,1204,Delivered
Dennison Crosswaite,Mint Chip Choco,UK,20-Jan-23,2427.75,243,Delivered
Gigi Bohling,Organic Choco Syrup,India,20-Jan-23,6912,364,Delivered
Brien Boise,99% Dark & Pure,USA,20-Jan-23,3903.75,163,Delivered
Roddy Speechley,50% Dark Bites,USA,20-Jan-23,5618.25,256,Delivered
Madelene Upcott,Organic Choco Syrup,New Zealand,20-Jan-23,4162.5,232,Delivered
Roddy Speechley,Mint Chip Choco,USA,20-Jan-23,6662.25,667,Delivered
Andria Kimpton,50% Dark Bites,UK,20-Jan-23,8748,461,Delivered
Karlen McCaffrey,85% Dark Bars,USA,20-Jan-23,6968.25,303,Delivered
Jan Morforth,Peanut Butter Cubes,UK,20-Jan-23,9758.25,488,Delivered
Brien Boise,85% Dark Bars,India,23-Jan-23,4925.25,235,Delivered
Gigi Bohling,Manuka Honey Choco,USA,23-Jan-23,11009.25,479,Delivered
Ches Bonnell,Eclairs,India,23-Jan-23,1966.5,86,Delivered
Wilone O'Kielt,70% Dark Bites,Canada,23-Jan-23,9240.75,617,Delivered
Curtice Advani,99% Dark & Pure,UK,23-Jan-23,2625.75,139,Delivered
Dotty Strutley,Mint Chip Choco,Australia,23-Jan-23,711,60,Delivered
Gigi Bohling,Organic Choco Syrup,USA,23-Jan-23,7713,336,Delivered
Husein Augar,Choco Coated Almonds,UK,23-Jan-23,812.25,63,Delivered
Roddy Speechley,Drinking Coco,Canada,24-Jan-23,5321.25,592,Delivered
Madelene Upcott,Eclairs,New Zealand,24-Jan-23,4090.5,195,Delivered
Brien Boise,Drinking Coco,UK,24-Jan-23,5332.5,667,Delivered
Kelci Walkden,Smooth Silky Salty,New Zealand,24-Jan-23,616.5,62,Delivered
Jan Morforth,Peanut Butter Cubes,Australia,24-Jan-23,10055.25,458,Delivered
Kelci Walkden,70% Dark Bites,UK,24-Jan-23,1478.25,83,Delivered
Brien Boise,Spicy Special Slims,India,24-Jan-23,6174,309,Delivered
Gunar Cockshoot,Manuka Honey Choco,Canada,24-Jan-23,4527,239,Delivered
Jehu Rudeforth,Peanut Butter Cubes,New Zealand,24-Jan-23,6732,293,Delivered
Brien Boise,Eclairs,India,24-Jan-23,513,23,Delivered
Wilone O'Kielt,50% Dark Bites,USA,24-Jan-23,1212.75,56,Delivered
Gigi Bohling,99% Dark & Pure,USA,24-Jan-23,1500.75,63,Cancelled
Barr Faughny,Baker's Choco Chips,India,24-Jan-23,4137.75,218,Delivered
Andria Kimpton,Peanut Butter Cubes,Australia,24-Jan-23,6738.75,293,Delivered
Oby Sorrel,Manuka Honey Choco,UK,24-Jan-23,1867.5,104,Delivered
Beverie Moffet,Orange Choco,India,24-Jan-23,864,108,Delivered
Husein Augar,Mint Chip Choco,New Zealand,25-Jan-23,821.25,92,Delivered
Madelene Upcott,Baker's Choco Chips,USA,25-Jan-23,10050.75,503,Delivered
Brien Boise,Raspberry Choco,Australia,25-Jan-23,9247.5,1322,Delivered
Brien Boise,Baker's Choco Chips,India,25-Jan-23,5341.5,282,Delivered
Roddy Speechley,Smooth Silky Salty,India,25-Jan-23,5226.75,747,Delivered
Dotty Strutley,70% Dark Bites,India,25-Jan-23,10833.75,571,Delivered
Roddy Speechley,Eclairs,Australia,26-Jan-23,913.5,42,Delivered
Andria Kimpton,Choco Coated Almonds,Australia,26-Jan-23,1035,69,Delivered
Gunar Cockshoot,70% Dark Bites,Canada,26-Jan-23,330.75,17,Delivered
Gunar Cockshoot,Caramel Stuffed Bars,UK,26-Jan-23,7002,319,Delivered
Husein Augar,Drinking Coco,USA,26-Jan-23,5760,480,Delivered
Beverie Moffet,Choco Coated Almonds,Australia,26-Jan-23,2758.5,213,Delivered
Dotty Strutley,Drinking Coco,UK,26-Jan-23,4632.75,515,Delivered
Jan Morforth,Smooth Silky Salty,UK,26-Jan-23,3145.5,450,Delivered
Kaine Padly,Orange Choco,New Zealand,26-Jan-23,10719,1787,Delivered
Barr Faughny,White Choc,India,26-Jan-23,2304,96,Delivered
Kelci Walkden,Mint Chip Choco,New Zealand,26-Jan-23,351,30,Cancelled
Dotty Strutley,After Nines,USA,26-Jan-23,2481.75,178,Delivered
Wilone O'Kielt,Organic Choco Syrup,UK,26-Jan-23,3035.25,145,Delivered
Husein Augar,Manuka Honey Choco,USA,26-Jan-23,1053,51,Delivered
Ches Bonnell,Eclairs,USA,26-Jan-23,1053,51,Delivered
Madelene Upcott,Milk Bars,Canada,26-Jan-23,5737.5,274,Delivered
Brien Boise,Baker's Choco Chips,USA,26-Jan-23,3892.5,229,Delivered
Camilla Castle,Drinking Coco,USA,26-Jan-23,5186.25,433,Delivered
Kaine Padly,Smooth Silky Salty,Australia,26-Jan-23,5874.75,840,Delivered
Dotty Strutley,Peanut Butter Cubes,USA,26-Jan-23,6354,303,Delivered
Husein Augar,Eclairs,USA,26-Jan-23,4050,185,Delivered
Ches Bonnell,Orange Choco,USA,26-Jan-23,3570.75,325,Delivered
Wilone O'Kielt,Drinking Coco,USA,26-Jan-23,6779.25,678,Cancelled
Mallorie Waber,Drinking Coco,USA,26-Jan-23,6039,504,Delivered
Kaine Padly,Spicy Special Slims,Canada,26-Jan-23,2760.75,139,Cancelled
Beverie Moffet,Raspberry Choco,UK,26-Jan-23,4747.5,528,Delivered
Karlen McCaffrey,Choco Coated Almonds,New Zealand,27-Jan-23,10174.5,679,Delivered
Kelci Walkden,Mint Chip Choco,Australia,27-Jan-23,2715.75,227,Delivered
Oby Sorrel,Choco Coated Almonds,Canada,27-Jan-23,4918.5,352,Delivered
Roddy Speechley,Eclairs,UK,27-Jan-23,8691.75,396,Delivered
Van Tuxwell,Choco Coated Almonds,UK,27-Jan-23,2065.5,159,Delivered
Wilone O'Kielt,Orange Choco,New Zealand,27-Jan-23,3804.75,381,Delivered
Brien Boise,Spicy Special Slims,India,27-Jan-23,202.5,13,Cancelled
Dennison Crosswaite,Choco Coated Almonds,Canada,27-Jan-23,14337,1304,Delivered
Curtice Advani,Drinking Coco,USA,27-Jan-23,5141.25,643,Delivered
Mallorie Waber,Smooth Silky Salty,UK,27-Jan-23,3048.75,436,Delivered
Jehu Rudeforth,Fruit & Nut Bars,UK,27-Jan-23,6489,250,Delivered
Gigi Bohling,Drinking Coco,Australia,27-Jan-23,5530.5,461,Delivered
Brien Boise,Organic Choco Syrup,India,30-Jan-23,10527.75,458,Delivered
Karlen McCaffrey,Peanut Butter Cubes,UK,30-Jan-23,7722,368,Delivered
Gunar Cockshoot,Drinking Coco,USA,30-Jan-23,4511.25,452,Delivered
Mallorie Waber,Drinking Coco,USA,30-Jan-23,5712.75,572,Delivered
Jehu Rudeforth,Milk Bars,India,30-Jan-23,7299,385,Delivered
Van Tuxwell,Drinking Coco,UK,30-Jan-23,5044.5,631,Delivered
Marney O'Breen,Milk Bars,UK,30-Jan-23,841.5,39,Delivered
Barr Faughny,99% Dark & Pure,UK,30-Jan-23,5463,274,Cancelled
Brien Boise,70% Dark Bites,USA,30-Jan-23,762.75,45,Delivered
Husein Augar,Almond Choco,USA,30-Jan-23,8646.75,961,Cancelled
Husein Augar,Fruit & Nut Bars,UK,31-Jan-23,2592,96,Delivered
Van Tuxwell,Mint Chip Choco,New Zealand,31-Jan-23,10260,1026,Delivered
Gunar Cockshoot,Eclairs,USA,31-Jan-23,6696,305,Delivered
Curtice Advani,Smooth Silky Salty,UK,31-Jan-23,9722.25,1081,Delivered
Brien Boise,Milk Bars,Canada,31-Jan-23,2238.75,112,Delivered
Andria Kimpton,Peanut Butter Cubes,Australia,31-Jan-23,4250.25,185,Delivered
Dotty Strutley,Fruit & Nut Bars,Australia,31-Jan-23,7209,278,Delivered
Curtice Advani,Raspberry Choco,USA,31-Jan-23,15837.75,1980,Cancelled
Brien Boise,Drinking Coco,India,31-Jan-23,6174,618,Delivered
Andria Kimpton,Spicy Special Slims,UK,31-Jan-23,922.5,49,Delivered
Oby Sorrel,50% Dark Bites,New Zealand,31-Jan-23,7479,374,Delivered
Wilone O'Kielt,Orange Choco,USA,31-Jan-23,16616.25,2770,Delivered
Dennison Crosswaite,Caramel Stuffed Bars,New Zealand,31-Jan-23,27,2,Delivered
Kelci Walkden,Baker's Choco Chips,USA,01-Feb-23,2605.5,163,Delivered
Marney O'Breen,Peanut Butter Cubes,USA,01-Feb-23,1201.5,55,Delivered
Madelene Upcott,White Choc,New Zealand,02-Feb-23,4632.75,232,Delivered
Brien Boise,Raspberry Choco,Australia,02-Feb-23,796.5,100,Cancelled
Madelene Upcott,Almond Choco,Canada,02-Feb-23,3442.5,313,Delivered
Camilla Castle,Fruit & Nut Bars,UK,02-Feb-23,19257.75,771,Delivered
Roddy Speechley,Orange Choco,India,02-Feb-23,8815.5,980,Delivered
Wilone O'Kielt,50% Dark Bites,New Zealand,02-Feb-23,3458.25,183,Delivered
Dotty Strutley,Baker's Choco Chips,Canada,02-Feb-23,4151.25,245,Delivered
Gunar Cockshoot,50% Dark Bites,UK,02-Feb-23,1152,55,Delivered
Beverie Moffet,Raspberry Choco,India,02-Feb-23,8586,1718,Delivered
Madelene Upcott,Raspberry Choco,Australia,02-Feb-23,7638.75,1092,Delivered
Brien Boise,Smooth Silky Salty,India,02-Feb-23,7287.75,1042,Delivered
Barr Faughny,After Nines,UK,02-Feb-23,12575.25,1048,Delivered
Van Tuxwell,70% Dark Bites,UK,02-Feb-23,6723,337,Delivered
Jehu Rudeforth,Mint Chip Choco,New Zealand,02-Feb-23,3208.5,268,Delivered
Gunar Cockshoot,Spicy Special Slims,India,02-Feb-23,3132,174,Delivered
Camilla Castle,Mint Chip Choco,UK,02-Feb-23,1107,86,Delivered
Brien Boise,After Nines,UK,02-Feb-23,4612.5,385,Delivered
Marney O'Breen,Manuka Honey Choco,Canada,03-Feb-23,7778.25,371,Delivered
Roddy Speechley,Drinking Coco,Canada,03-Feb-23,5955.75,745,Delivered
Brien Boise,50% Dark Bites,UK,03-Feb-23,4592.25,219,Delivered
Madelene Upcott,Drinking Coco,India,03-Feb-23,5427,543,Delivered
Gigi Bohling,Choco Coated Almonds,India,03-Feb-23,1784.25,163,Delivered
Jan Morforth,Drinking Coco,USA,03-Feb-23,5654.25,707,Cancelled
Jan Morforth,Organic Choco Syrup,UK,03-Feb-23,7866,414,Delivered
Roddy Speechley,85% Dark Bars,India,03-Feb-23,2297.25,96,Delivered
Karlen McCaffrey,Choco Coated Almonds,India,03-Feb-23,976.5,98,Delivered
Gunar Cockshoot,Choco Coated Almonds,India,03-Feb-23,366.75,31,Delivered
Gigi Bohling,Fruit & Nut Bars,Canada,03-Feb-23,2592,113,Delivered
Kelci Walkden,Raspberry Choco,USA,03-Feb-23,14118.75,2017,Delivered
Dotty Strutley,Organic Choco Syrup,Canada,06-Feb-23,3312,158,Delivered
Gunar Cockshoot,Drinking Coco,India,06-Feb-23,5521.5,614,Delivered
Madelene Upcott,Baker's Choco Chips,UK,06-Feb-23,8147.25,453,Delivered
Dotty Strutley,Manuka Honey Choco,Canada,06-Feb-23,650.25,29,Delivered
Husein Augar,Choco Coated Almonds,USA,06-Feb-23,1813.5,140,Delivered
Roddy Speechley,Orange Choco,USA,06-Feb-23,2567.25,428,Delivered
Barr Faughny,Smooth Silky Salty,New Zealand,06-Feb-23,265.5,23,Delivered
Oby Sorrel,Manuka Honey Choco,USA,07-Feb-23,121.5,7,Delivered
Jan Morforth,Spicy Special Slims,USA,07-Feb-23,8115.75,451,Delivered
Dotty Strutley,85% Dark Bars,India,07-Feb-23,11306.25,539,Delivered
Van Tuxwell,White Choc,Canada,07-Feb-23,2043,98,Delivered
Ches Bonnell,Orange Choco,USA,07-Feb-23,4916.25,820,Delivered
Husein Augar,Organic Choco Syrup,UK,07-Feb-23,798.75,39,Cancelled
Barr Faughny,Eclairs,UK,08-Feb-23,2128.5,107,Delivered
Jehu Rudeforth,Mint Chip Choco,UK,08-Feb-23,6212.25,444,Delivered
Jehu Rudeforth,99% Dark & Pure,USA,08-Feb-23,8759.25,365,Delivered
Wilone O'Kielt,Mint Chip Choco,New Zealand,08-Feb-23,1356.75,136,Delivered
Van Tuxwell,Manuka Honey Choco,India,08-Feb-23,8500.5,370,Delivered
Brien Boise,Smooth Silky Salty,UK,08-Feb-23,1554.75,223,Delivered
Madelene Upcott,Peanut Butter Cubes,USA,08-Feb-23,5305.5,222,Delivered
Dotty Strutley,Raspberry Choco,New Zealand,08-Feb-23,2223,445,Delivered
Wilone O'Kielt,Manuka Honey Choco,India,09-Feb-23,4317.75,206,Delivered
Beverie Moffet,Mint Chip Choco,New Zealand,09-Feb-23,5265,405,Delivered
Brien Boise,Raspberry Choco,USA,09-Feb-23,684,69,Delivered
Wilone O'Kielt,50% Dark Bites,UK,09-Feb-23,3145.5,186,Delivered
Barr Faughny,Organic Choco Syrup,USA,09-Feb-23,1701,90,Delivered
Beverie Moffet,Spicy Special Slims,India,09-Feb-23,657,37,Delivered
Roddy Speechley,Choco Coated Almonds,UK,09-Feb-23,3548.25,323,Delivered
Madelene Upcott,After Nines,UK,09-Feb-23,5793.75,580,Delivered
Dotty Strutley,70% Dark Bites,UK,10-Feb-23,13.5,1,Delivered
Barr Faughny,Manuka Honey Choco,New Zealand,10-Feb-23,5577.75,294,Delivered
Wilone O'Kielt,Drinking Coco,USA,10-Feb-23,6030,603,Delivered
Kelci Walkden,Choco Coated Almonds,New Zealand,13-Feb-23,4473,448,Delivered
Kelci Walkden,Spicy Special Slims,New Zealand,13-Feb-23,15252.75,898,Delivered
Gunar Cockshoot,Drinking Coco,UK,13-Feb-23,5217.75,522,Delivered
Dotty Strutley,99% Dark & Pure,India,13-Feb-23,5280.75,252,Delivered
Van Tuxwell,Fruit & Nut Bars,USA,13-Feb-23,6032.25,233,Delivered
Jan Morforth,After Nines,India,13-Feb-23,5316.75,532,Delivered
Roddy Speechley,Peanut Butter Cubes,USA,13-Feb-23,7481.25,375,Delivered
Beverie Moffet,Manuka Honey Choco,Canada,13-Feb-23,10761.75,567,Delivered
Curtice Advani,Raspberry Choco,New Zealand,13-Feb-23,10395,1040,Delivered
Jehu Rudeforth,99% Dark & Pure,UK,13-Feb-23,10140.75,441,Delivered
Gunar Cockshoot,Mint Chip Choco,India,14-Feb-23,5703.75,519,Delivered
Andria Kimpton,Manuka Honey Choco,Australia,14-Feb-23,13842,769,Delivered
Roddy Speechley,70% Dark Bites,USA,14-Feb-23,9438.75,497,Delivered
Gunar Cockshoot,99% Dark & Pure,USA,14-Feb-23,6079.5,290,Delivered
Rafaelita Blaksland,50% Dark Bites,India,14-Feb-23,5186.25,236,Delivered
Andria Kimpton,Choco Coated Almonds,New Zealand,14-Feb-23,9598.5,686,Delivered
Van Tuxwell,99% Dark & Pure,India,14-Feb-23,6243.75,313,Delivered
Gigi Bohling,Drinking Coco,USA,14-Feb-23,5429.25,453,Delivered
Karlen McCaffrey,Baker's Choco Chips,UK,15-Feb-23,5406.75,361,Cancelled
Brien Boise,Manuka Honey Choco,UK,15-Feb-23,14733,819,Delivered
Gunar Cockshoot,Orange Choco,Canada,15-Feb-23,13038.75,1863,Delivered
Madelene Upcott,85% Dark Bars,India,15-Feb-23,7429.5,338,Delivered
Karlen McCaffrey,Smooth Silky Salty,UK,15-Feb-23,16249.5,2322,Delivered
Gigi Bohling,Eclairs,Australia,15-Feb-23,1845,84,Delivered
Kelci Walkden,Choco Coated Almonds,USA,15-Feb-23,4540.5,455,Delivered
Madelene Upcott,Fruit & Nut Bars,UK,15-Feb-23,3611.25,139,Delivered
Wilone O'Kielt,Baker's Choco Chips,India,15-Feb-23,6365.25,336,Delivered
Oby Sorrel,Orange Choco,USA,15-Feb-23,1597.5,146,Delivered
Dotty Strutley,Raspberry Choco,Canada,15-Feb-23,7020,1404,Delivered
Beverie Moffet,99% Dark & Pure,Australia,15-Feb-23,11952,630,Delivered
Husein Augar,Eclairs,Canada,15-Feb-23,2760.75,126,Delivered
Curtice Advani,Fruit & Nut Bars,New Zealand,15-Feb-23,4446,171,Delivered
Wilone O'Kielt,Organic Choco Syrup,Canada,15-Feb-23,13.5,1,Delivered
Dennison Crosswaite,Eclairs,UK,15-Feb-23,3532.5,186,Delivered
Karlen McCaffrey,Raspberry Choco,Canada,16-Feb-23,1536.75,154,Delivered
Gunar Cockshoot,Eclairs,UK,16-Feb-23,1527.75,85,Delivered
Husein Augar,85% Dark Bars,India,16-Feb-23,1953,79,Cancelled
Kelci Walkden,50% Dark Bites,India,16-Feb-23,1356.75,65,Delivered
Husein Augar,Choco Coated Almonds,Canada,16-Feb-23,2947.5,227,Delivered
Roddy Speechley,Orange Choco,UK,16-Feb-23,12559.5,1256,Delivered
Marney O'Breen,Spicy Special Slims,UK,16-Feb-23,6826.5,456,Delivered
Dennison Crosswaite,Baker's Choco Chips,India,16-Feb-23,249.75,16,Delivered
Gunar Cockshoot,Fruit & Nut Bars,India,16-Feb-23,8964,374,Delivered
